chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
Ti-O,107,,0.19762737857972906,0.6798609528768647,0.9759995868596357,0.7783722082799067,11.52967790284818,-1.6057661461466,-0.28267360466918057,-0.0013537552735208,-0.3928290220740051,-0.8322508844835009
Nb-S,13,,0.011988635077889017,0.5353014616399506,1.151599384526695,1.139610749448806,19.128144145963567,-1.0842023921852433,-0.22355305461254701,-7.521880662195515e-05,-0.6389525508961212,-0.5866137184883102
Zr-S,11,,0.40484938087620975,0.6254353969259435,0.9262765229135735,0.5214271420373637,20.002417249584628,-0.7231444753281236,-0.3493603868072801,-0.0577098220038514,-0.18089506410881567,-0.18486094658922633
Ti-S,14,,0.23589274129195623,0.5718752481706267,0.9030632003294947,0.6671704590375385,17.396652166391654,-0.7069226199479104,-0.15846982521178035,-0.0061766977331722,-0.7045601330335862,-0.799432004146639
V-O,130,,0.2004298732395079,0.4582168454427338,1.0150833022787646,0.8146534290392567,12.846582710935817,-0.6891613514457487,-0.0987093233190171,-0.0020327994549086,-0.3787164493002549,-0.17527729921042157
Y-O,19,,0.565152559826321,0.8186564560025026,0.9296399705978505,0.3644874107715296,14.920692280039566,-0.6326966991093349,-0.20699006442377288,-0.0013405907472044,-0.0929522380892132,-0.19988428438400474
Mn-O,62,,0.24843470531320197,0.4267795172797956,0.579880870347735,0.33144616503453295,11.487834450862966,-0.5650836296435213,-0.104514189791623,-0.001688281176031,-0.2565735107783438,-0.48240391061098925
Fe-O,122,,0.215503660711532,0.4282084842852018,0.5809645696067438,0.36546090889521177,11.17251782549846,-0.4713825755546094,-0.09723973046105755,-0.0005208892456901,-0.23248948961729424,-0.32218843682690973
Cu-O,1,,0.8054893669947089,0.8054893669947089,0.8054893669947089,0.0,11.79952738613085,-0.4481761697967983,-0.4481761697967983,-0.4481761697967983,,
V-S,13,,0.08714934959809018,0.5560262970437632,0.9983569461419449,0.9112075965438547,16.546909317969863,-0.4423245653306554,-0.103563343192733,-0.0005012014548109,-0.8380502116198388,-0.3526011516245214
Sc-O,8,,0.6433969505750964,0.7537302670065851,0.9660962427450721,0.3226992921699757,11.708691652955288,-0.4387089915759971,-0.18311571010891475,-0.0267760387026724,-0.8347404072686275,-1.0747690361205688
Pd-O,3,,0.4634162233312659,0.46376869380962127,0.5299463032256165,0.06653007989435061,12.704687564633291,-0.3659186590475131,-0.14104825459964995,-6.222985105498041e-05,0.6167197500514384,3.16853550494361
Co-O,39,,0.04673134800687153,0.34635132293023474,0.500275172908513,0.45354382490164147,11.411459693271032,-0.3565828424330174,-0.09229059440986215,-0.0004484186359869,-0.3400999217156366,-0.3316055760529979
Zr-O,19,,0.5967365659099573,0.7331428881682849,0.9589848579241657,0.3622482920142084,12.960315028025644,-0.3419377176395783,-0.15572789416029287,-0.0040043007703217,-0.30922143751412307,-0.24010294838849536
Ni-S,12,,0.3355155669512008,0.48032318875522356,0.6483631091274138,0.31284754217621297,13.566459264280583,-0.3366414857509834,-0.0911586870638238,-0.0028792573203207,0.2585878746986387,0.27987140243279346
Cu-S,4,,0.5219355327716112,0.5350433754979325,0.5518329724704173,0.029897439698806094,14.918497082562016,-0.330844781972502,-0.1570156314574137,-0.0798072845307308,-0.18034133575403283,-1.7435909125609321
Ta-S,6,,0.2669899031080105,0.8242081771379535,1.0470219823801907,0.7800320792721802,17.99173457725051,-0.2798808034141286,-0.15305757535800585,-0.0011580959208354,-0.782309572124431,-0.25195830873998765
Sc-S,3,,0.5198562293783728,0.5337360397664728,0.5574374357278772,0.03758120634950435,21.123124998078154,-0.277944709160809,-0.13684470199516094,-0.0646852634887339,0.16220706802788054,1.043124370564632
Nb-O,17,,0.3995841668254207,0.43617949402650924,0.8575513250307997,0.457967158205379,14.525332697274877,-0.2684123941870342,-0.113888708782357,-0.0018725741064267,0.18764965640132567,0.10493422609704048
Ni-O,29,,0.11403044465914347,0.38790069001292987,0.5752229934004355,0.461192548741292,10.257243113750748,-0.2641469386601428,-0.08311850235431449,-3.9130109570294745e-05,-0.5349073142593468,-0.38977842219805825
Ta-O,6,,0.5017163698664747,0.8337300386907502,1.0758245618238254,0.5741081919573506,15.248120618796587,-0.2558979205585986,-0.13008074838553543,-0.0582325198047619,-0.6898636866680286,-0.21799734770050136
Hf-O,8,,0.6253663370914793,0.6364236402945933,0.7608947779001255,0.13552844080864623,13.01954783776034,-0.2547082801084714,-0.1863744151083613,-0.0723058534666633,0.8925100241906406,1.5266164695291966
Rh-S,1,,0.5623411990266954,0.5623411990266954,0.5623411990266954,0.0,15.372608789658644,-0.2544271733254264,-0.2544271733254264,-0.2544271733254264,,
Cr-O,52,,0.2593984736633076,0.4552838368603956,0.5696163167479722,0.3102178430846646,11.773214247128529,-0.2536050290405826,-0.07239300650306976,-0.0056221350284054,-0.10589336805376387,-0.12178090489905698
Y-S,4,,0.4317064416211363,0.631864890191459,0.6664145193274218,0.2347080777062855,22.842879530155795,-0.2155435175171478,-0.11399126733541731,-0.018238756798264,-0.8011069320348686,-0.5923138596349672
Zn-S,98,,0.24644027939122243,0.30561498550130106,0.3192719909102479,0.07283171151902545,20.3774214479643,-0.2049524028841518,-0.10263519109744337,-0.0591086933613166,0.7103396734652827,0.7698539896416384
Zn-O,5,,0.3151271329388492,0.32480601598173664,0.43000759212087775,0.11488045918202855,13.562659419755969,-0.2045787050979867,-0.18398881165149458,-0.1136383585203062,0.9709293209642629,0.8069029492497994
Rh-O,4,,0.47049753576229825,0.5185185012026837,0.5426903782099376,0.07219284244763935,10.652406578460187,-0.1669840359979043,-0.1067681595792612,-0.081589350806994,-0.4216274901499262,-0.5319985584121375
Pd-S,3,,0.5884124037658828,0.6103060864399292,0.6666692068108286,0.07825680304494587,15.807845966560112,-0.1654040371581073,-0.1165940473355357,-0.0703960055736149,0.31661211799198546,0.37294951310692404
Mo-S,4,,0.2512812372661167,0.4931085623410679,0.835399961043297,0.5841187237771803,19.594370268114346,-0.1586130006063377,-0.11255755664120422,-0.065983674271478,-0.5290392632407191,-0.10905188371536932
Mo-O,1,,0.553106976809013,0.553106976809013,0.553106976809013,0.0,13.502626603654004,-0.1184199959945722,-0.1184199959945722,-0.1184199959945722,,
Tc-O,1,,0.25405904140458874,0.25405904140458874,0.25405904140458874,0.0,15.325134076724245,-0.1178296629101884,-0.1178296629101884,-0.1178296629101884,,
Fe-S,12,,0.19610827846662515,0.5370024567346955,0.7260292081039541,0.529920929637329,13.191565220483174,-0.1163896643480806,-0.06819921512046506,-0.0138604983318336,-0.8190474504477662,-0.16557205099906316
Cr-S,7,,0.206865469174957,0.4148837335688228,0.4865928469245449,0.2797273777495879,17.66965869205346,-0.1130756385898952,-0.07315269274443052,-0.0045214555571357,-0.7185308269464411,-0.31075969007083126
Co-S,4,,0.40199108159351277,0.4731149979731709,0.6644155612455431,0.26242447965203036,13.765945356929791,-0.0882133689004489,-0.04916842292724115,-0.0106068050784173,-0.3079535895468239,-0.10231788871946658
Hf-S,1,,0.8611517875388746,0.8611517875388746,0.8611517875388746,0.0,19.2562426230518,-0.0343014539403999,-0.0343014539403999,-0.0343014539403999,,
Mn-S,5,,0.3750101566093033,0.4670944009081246,0.842318803105805,0.46730864649650167,17.232643755208038,-0.0280385302952868,-0.01535236338841176,-0.0058219402534333,-0.8895198782844672,-0.04112707756200805
